code,name,:LABEL
E01000326,Bexley 014B,LSOA
E01000327,Bexley 017A,LSOA
E01000328,Bexley 017B,LSOA
E01000329,Bexley 017C,LSOA
E01000330,Bexley 017D,LSOA
E01000331,Bexley 017E,LSOA
E01000332,Bexley 005A,LSOA
E01000333,Bexley 003A,LSOA
E01000334,Bexley 006A,LSOA
E01000335,Bexley 003B,LSOA
E01000336,Bexley 003C,LSOA
E01000337,Bexley 003D,LSOA
E01000338,Bexley 003E,LSOA
E01000339,Bexley 025A,LSOA
E01000340,Bexley 018A,LSOA
E01000341,Bexley 022A,LSOA
E01000342,Bexley 022B,LSOA
E01000343,Bexley 022C,LSOA
E01000344,Bexley 025B,LSOA
E01000345,Bexley 022D,LSOA
E01000346,Bexley 021A,LSOA
E01000347,Bexley 021B,LSOA
E01000348,Bexley 020A,LSOA
E01000349,Bexley 020B,LSOA
E01000350,Bexley 021C,LSOA
E01000351,Bexley 024A,LSOA
E01000352,Bexley 021D,LSOA
E01000353,Bexley 011A,LSOA
E01000354,Bexley 011B,LSOA
E01000355,Bexley 011C,LSOA
E01000356,Bexley 009A,LSOA
E01000357,Bexley 009B,LSOA
E01000358,Bexley 011D,LSOA
E01000359,Bexley 009C,LSOA
E01000360,Bexley 015A,LSOA
E01000361,Bexley 020C,LSOA
E01000362,Bexley 015B,LSOA
E01000363,Bexley 020D,LSOA
E01000364,Bexley 023A,LSOA
E01000365,Bexley 015C,LSOA
E01000366,Bexley 015D,LSOA
E01000367,Bexley 010A,LSOA
E01000368,Bexley 010B,LSOA
E01000369,Bexley 014C,LSOA
E01000370,Bexley 014D,LSOA
E01000371,Bexley 014E,LSOA
E01000372,Bexley 010C,LSOA
E01000373,Bexley 008A,LSOA
E01000374,Bexley 019A,LSOA
E01000375,Bexley 019B,LSOA
E01000376,Bexley 019C,LSOA
E01000377,Bexley 019D,LSOA
E01000379,Bexley 019F,LSOA
E01000380,Bexley 010D,LSOA
E01000381,Bexley 028A,LSOA
E01000382,Bexley 027A,LSOA
E01000383,Bexley 028B,LSOA
E01000384,Bexley 027B,LSOA
E01000385,Bexley 028C,LSOA
E01000386,Bexley 028D,LSOA
E01000387,Bexley 027C,LSOA
E01000388,Bexley 016A,LSOA
E01000389,Bexley 020E,LSOA
E01000390,Bexley 020F,LSOA
E01000391,Bexley 021E,LSOA
E01000392,Bexley 016B,LSOA
E01000393,Bexley 020G,LSOA
E01000394,Bexley 015E,LSOA
E01000395,Bexley 018B,LSOA
E01000396,Bexley 018C,LSOA
E01000398,Bexley 029A,LSOA
E01000399,Bexley 029B,LSOA
E01000400,Bexley 029C,LSOA
E01000401,Bexley 013A,LSOA
E01000402,Bexley 005B,LSOA
E01000403,Bexley 004A,LSOA
E01000404,Bexley 004B,LSOA
E01000405,Bexley 004C,LSOA
E01000406,Bexley 005C,LSOA
E01000407,Bexley 005D,LSOA
E01000408,Bexley 004D,LSOA
